scenario_id,scenario,environment,quantity,unit,n_compared,n_changed,max_abs_diff,measured_on,how
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",trimmed-mean forecasts and intervals: labels,labels,57,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",credit stress test: labels,labels,8,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",credit stress test: numbers,mixed,31,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",scenario forecast (simulated): labels,labels,8,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",scenario forecast (simulated): forecast and interval numbers,pp,12,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",scenario forecast (simulated): other numbers,other,6,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",RBA action readings (simulated): labels,labels,45,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",RBA action readings (simulated): forecasts,pp,2,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
one_thread,Serve the same models on one CPU thread,"same machine, OpenBLAS and OpenMP limited to one thread (the README says Cloud Run serves on one CPU), saved runs",RBA action readings (simulated): probabilities,probability,16,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_NUM_THREADS=1 OMP_NUM_THREADS=1; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",point forecasts and intervals: other numbers,other,52,0,0,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",point forecasts and intervals: forecast and interval numbers,pp,72,0,0,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",point forecasts and intervals: labels,labels,57,0,,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",trimmed-mean forecasts and intervals: other numbers,other,52,0,0,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",trimmed-mean forecasts and intervals: forecast and interval numbers,pp,72,0,0,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",trimmed-mean forecasts and intervals: labels,labels,57,0,,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",credit stress test: labels,labels,8,0,,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",credit stress test: numbers,mixed,31,0,0,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",scenario forecast (simulated): labels,labels,8,0,,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",scenario forecast (simulated): forecast and interval numbers,pp,12,0,0,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",scenario forecast (simulated): other numbers,other,6,0,0,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",RBA action readings (simulated): labels,labels,45,0,,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",RBA action readings (simulated): forecasts,pp,2,0,0,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run_repeat,Ask Cloud Run the same question twice,"live Cloud Run service, two identical sets of requests one after the other",RBA action readings (simulated): probabilities,probability,16,0,0,2026-09-22,the same requests sent twice to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",point forecasts and intervals: other numbers,other,52,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",point forecasts and intervals: forecast and interval numbers,pp,72,32,1.0585e-10,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",point forecasts and intervals: labels,labels,57,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",trimmed-mean forecasts and intervals: other numbers,other,52,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",trimmed-mean forecasts and intervals: forecast and interval numbers,pp,72,32,8.7848e-11,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",trimmed-mean forecasts and intervals: labels,labels,57,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",credit stress test: labels,labels,8,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",credit stress test: numbers,mixed,31,11,3.63798e-12,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",scenario forecast (simulated): labels,labels,8,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",scenario forecast (simulated): forecast and interval numbers,pp,12,12,0.0189259,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",scenario forecast (simulated): other numbers,other,6,1,3.55271e-15,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",RBA action readings (simulated): labels,labels,45,0,,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",RBA action readings (simulated): forecasts,pp,2,0,0,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
other_cpu,Serve the same models on other CPU arithmetic,"same machine, OpenBLAS forced to the Sandy Bridge kernel (AVX, no FMA), saved runs",RBA action readings (simulated): probabilities,probability,16,12,0.005,2026-09-22,"restored runs served twice from a scratch copy, once normally and once with OPENBLAS_CORETYPE=SANDYBRIDGE; the same requests to both; compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/."
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,point forecasts and intervals: other numbers,other,52,0,0,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,point forecasts and intervals: forecast and interval numbers,pp,72,32,1.9424e-10,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,point forecasts and intervals: labels,labels,57,0,,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,trimmed-mean forecasts and intervals: other numbers,other,52,0,0,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,trimmed-mean forecasts and intervals: forecast and interval numbers,pp,72,32,1.57361e-09,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,trimmed-mean forecasts and intervals: labels,labels,57,0,,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,credit stress test: labels,labels,8,0,,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,credit stress test: numbers,mixed,31,13,5.00222e-12,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,scenario forecast (simulated): labels,labels,8,0,,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,scenario forecast (simulated): forecast and interval numbers,pp,12,12,0.0305666,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,scenario forecast (simulated): other numbers,other,6,1,4.44089e-15,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,RBA action readings (simulated): labels,labels,45,0,,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,RBA action readings (simulated): forecasts,pp,2,0,0,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
cloud_run,Serve from Cloud Run instead of locally,live Cloud Run service (redeployed 2026-09-21 from an image built with unpinned packages) vs the local API on saved runs,RBA action readings (simulated): probabilities,probability,16,10,0.002,2026-09-22,the same requests sent to a local uvicorn on the restored runs and to the live Cloud Run service (README); compare-api on every number and label. Recipe and saved records: reports/reproducibility_runs/README.md; raw responses: reports/reproducibility_runs/api_responses/.
classifier_cpu,Rerun the RBA classifier on other CPU arithmetic,"same machine, OpenBLAS forced to three other CPU kernels (Sandy Bridge, Nehalem, Prescott) vs the default Haswell kernel","RBA classifier calls, all models compared",calls,861,0,,2026-09-22,OPENBLAS_CORETYPE=<kernel> python scripts/repro_rba_predictions.py <dir> for each kernel; compare-classifier of the 41-quarter predictions of all seven models and of the first-vs-last-fold cut-offs against the default run (whose report matches the checked-in one byte for byte). Saved runs: reports/reproducibility_runs/rba_classifier_runs/. Recipe and saved records: reports/reproducibility_runs/README.md.
classifier_cpu,Rerun the RBA classifier on other CPU arithmetic,"same machine, OpenBLAS forced to three other CPU kernels (Sandy Bridge, Nehalem, Prescott) vs the default Haswell kernel","RBA classifier calls, ordered logit and probit",calls,246,0,,2026-09-22,OPENBLAS_CORETYPE=<kernel> python scripts/repro_rba_predictions.py <dir> for each kernel; compare-classifier of the 41-quarter predictions of all seven models and of the first-vs-last-fold cut-offs against the default run (whose report matches the checked-in one byte for byte). Saved runs: reports/reproducibility_runs/rba_classifier_runs/. Recipe and saved records: reports/reproducibility_runs/README.md.
classifier_cpu,Rerun the RBA classifier on other CPU arithmetic,"same machine, OpenBLAS forced to three other CPU kernels (Sandy Bridge, Nehalem, Prescott) vs the default Haswell kernel","RBA classifier probabilities, threshold model (simulated)",probability,369,35,0.047,2026-09-22,OPENBLAS_CORETYPE=<kernel> python scripts/repro_rba_predictions.py <dir> for each kernel; compare-classifier of the 41-quarter predictions of all seven models and of the first-vs-last-fold cut-offs against the default run (whose report matches the checked-in one byte for byte). Saved runs: reports/reproducibility_runs/rba_classifier_runs/. Recipe and saved records: reports/reproducibility_runs/README.md.
classifier_cpu,Rerun the RBA classifier on other CPU arithmetic,"same machine, OpenBLAS forced to three other CPU kernels (Sandy Bridge, Nehalem, Prescott) vs the default Haswell kernel","RBA classifier probabilities, ordered logit and probit",probability,738,708,2.51076e-09,2026-09-22,OPENBLAS_CORETYPE=<kernel> python scripts/repro_rba_predictions.py <dir> for each kernel; compare-classifier of the 41-quarter predictions of all seven models and of the first-vs-last-fold cut-offs against the default run (whose report matches the checked-in one byte for byte). Saved runs: reports/reproducibility_runs/rba_classifier_runs/. Recipe and saved records: reports/reproducibility_runs/README.md.
classifier_cpu,Rerun the RBA classifier on other CPU arithmetic,"same machine, OpenBLAS forced to three other CPU kernels (Sandy Bridge, Nehalem, Prescott) vs the default Haswell kernel","RBA classifier probabilities, other models",probability,369,96,2.22045e-16,2026-09-22,OPENBLAS_CORETYPE=<kernel> python scripts/repro_rba_predictions.py <dir> for each kernel; compare-classifier of the 41-quarter predictions of all seven models and of the first-vs-last-fold cut-offs against the default run (whose report matches the checked-in one byte for byte). Saved runs: reports/reproducibility_runs/rba_classifier_runs/. Recipe and saved records: reports/reproducibility_runs/README.md.
